Parent Container,Container Id,Container Type,Dwell Time,Container Count,Stacking Filter,Force Moved Status,Scheduled Departure Time
"","","","","","","","",
"","FR-10330","STACKING_AREA","","1 items","","false","null",
"FR-10330","CART_00g2xrmv_S","CART","5 hrs 19 mins","120 items","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBxcjJb0ZX_001_v","PACKAGE","3 hrs 43 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBfBldg0YX_001_v","PACKAGE","1 hr 25 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBs70HkfhX_001_v","PACKAGE","2 hrs 9 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBWD5Ml0KX_001_v","PACKAGE","3 hrs 59 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBvMVRxCRX_001_v","PACKAGE","13 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBk0f47fHX_001_v","PACKAGE","1 hr 49 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBfDBNr0bX_001_v","PACKAGE","3 hrs 54 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBBbR65fkX_001_v","PACKAGE","48 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBqH6Bwf2X_001_v","PACKAGE","20 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBsdksz0NX_001_v","PACKAGE","2 hrs 47 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBBqvGk05X_001_v","PACKAGE","4 hrs 29 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBkXRdk0qX_001_v","PACKAGE","3 hrs 37 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBHtfMZ0YX_001_v","PACKAGE","4 hrs 23 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SB7Rgk0fWX_001_v","PACKAGE","2 hrs 56 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBs6L4d0QX_001_v","PACKAGE","2 hrs 43 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBk26h902X_001_v","PACKAGE","18 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBBC0FWfLX_001_v","PACKAGE","1 hr 33 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBWBMRcffX_001_v","PACKAGE","3 hrs 34 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBvPRtP0FX_001_v","PACKAGE","2 hrs ","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBqq662frX_001_v","PACKAGE","1 hr 51 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBHv5xY0WX_001_v","PACKAGE","2 hrs 41 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBx8zPZ0nX_001_v","PACKAGE","1 hr 48 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBBk80R0jX_001_v","PACKAGE","1 hr 57 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBhDJJyffX_001_v","PACKAGE","1 hr 39 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBW99zjGNX_001_v","PACKAGE","4 hrs 29 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBkhncXflX_001_v","PACKAGE","1 hr 49 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SBkVHFTfZX_001_v","PACKAGE","1 hr 36 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00g2xrmv_S","SB73BVj0LX_001_v","PACKAGE","3 hrs 47 mins","","YHM5-DLC8-CART-FLATS-SPG","false","03-Nov-25 18:00",
